ID,Seq,RAdeg,DEdeg,Per,R21,phi21,T0,gmag,rmag,Per-g,Per-r,Ng,Nr,R21-g,R21-r,phi21-g,phi21-r,R2-g,R2-r,gAmp,rAmp,log(FAP-g),log(FAP-r),Type,Dmin-g,Dmin-r,random_index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_bp_mean_flux_error,teff_gspphot,logg_gspphot,mh_gspphot,ag_gspphot,ruwe,astrometric_excess_noise,astrometric_sigma5d_max,fidelity_v2,rv_renormalised_gof,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_nb_transits,Separation
ZTFJ192242.99+181228.7,422309,290.67915,18.208,2.680423,0.859,6.276,58345.3281855,14.266,13.211,2.6808292,2.680423,161,184,0.962,0.859,6.255,6.276,0.705,0.817,0.391,0.373,-3.22,-5.936,EA,0.006,0.026,511769043,4515055202811543680,290.67914956046747,0.009520809,18.20796253363086,0.010594509,1.246237351292574,0.013192606,-3.0038003085435525,0.011019133,-0.49826293502324853,0.012398353,59.018463,3.2972088,13.2044325,98440.47701510318,27.41118,13.917907,37004.47084196917,51.75817,12.374746,88973.25564733206,47.312443,6575.3486,3.7097,-0.2757,1.8175,0.9724889,0.0,0.0183633,1.0,,,14.5268755,12,0.134887303828584
ZTFJ192248.55+202017.0,422652,290.70231,20.33807,2.33016,0.882,6.479,58364.1475953,15.095,13.951,6.986898,2.33016,159,180,0.934,0.882,6.006,6.479,0.711,0.758,0.223,0.268,-5.742,-3.898,EA,0.037,0.013,1136379269,4515948349874953600,290.70231244496716,0.029489016,20.338067088092796,0.04472636,1.200827663042397,0.07183594,-0.9878350019055901,0.05238137,-5.025282195174263,0.063672654,-69.50976,7.8758817,13.942344,49889.525375564706,44.700855,14.72824,17543.68165406425,73.61706,13.030182,48650.30583344967,17.32828,,,,,4.4597745,0.57249093,0.08848707,0.6220703,,,14.527195,39,0.013341854202014496
ZTFJ192316.68+250816.0,424320,290.81953,25.13778,3.1609282,0.759,6.285,58360.2726728,14.307,13.729,3.1606744,3.1609282,161,163,0.759,0.852,6.285,6.32,0.914,0.892,0.487,0.56,-10.031,-9.42,EA,0.015,0.04,155687432,2023175685204958848,290.819536903689,0.011214201,25.137763901619945,0.016730089,0.2954675627235462,0.02095227,-1.5858001389335232,0.013746032,-6.674262604270771,0.020916635,-22.228237,10.471669,13.697264,62523.236182748726,33.170765,14.122051,30661.71813671474,60.41448,13.08218,46375.254525319884,58.398266,6966.5586,2.801,-2.1888,1.1388,1.5547812,0.16435179,0.029051699,0.9995117,,,12.22893,32,0.062168389257819846
ZTFJ192321.11+144047.3,424572,290.83796,14.67983,3.2569054,0.746,6.221,58258.447388,16.094,14.816,3.2577404,3.2569054,136,162,0.755,0.746,6.489,6.221,0.638,0.786,0.153,0.176,-3.337,-7.171,EA,0.019,0.006,502957077,4319862305149059968,290.83797449262863,0.01713004,14.679794507856961,0.015731646,0.5354774587396376,0.022477178,1.1575365686964587,0.02306778,-0.7512004118803678,0.018530544,42.709774,9.112222,14.738584,23961.463407013984,7.7534556,15.654843,7472.735416620878,22.497385,13.787179,24226.281714503155,9.912054,,,,,0.9780759,0.0,0.032238774,1.0,,,6.481319,21,0.1373785623660224
ZTFJ192321.24-000629.5,424581,290.83853,-0.10822,1.1314242,0.568,6.189,58636.4025522,14.695,14.252,1.1314242,1.1314624,50,56,0.568,0.535,6.189,6.332,0.983,0.98,0.256,0.249,-3.698,-4.82,EA,0.058,0.035,338987428,4263540715386501504,290.8385341698539,0.019681038,-0.10822205941309876,0.016876936,0.3967645395563105,0.02296668,1.425224208115224,0.021642802,-6.278453885120375,0.017295297,-69.3007,16.611887,14.256592,37351.6848227275,155.9383,14.6133995,19501.003754560803,369.82776,13.738408,25339.312431448587,293.8258,7155.3037,3.9425,-0.2887,0.8051,1.0214807,0.0,0.030521266,1.0,,,4.72706,11,0.016742439238973138
ZTFJ192323.80+344406.5,424697,290.84919,34.73514,1.222957,0.624,6.236,58272.4074526,12.538,0.0,1.222957,0.0,84,0,0.624,0.0,6.236,0.0,0.929,0.0,0.517,0.0,-6.316,0.0,EA,0.028,0.0,873025588,2049773593002946944,290.84919503372,0.23788826,34.73509120106907,0.28263888,1.8557025999999155,0.3060974,0.25716396146428067,0.31991935,-5.106623265269472,0.3961633,18.072412,7.6661496,12.43096,200707.13314602894,1404.7937,12.453892,142514.85967002442,405.0184,11.895371,138359.70791439683,492.52026,,,,,25.301575,3.6254838,0.57143295,0.054351807,-1.210099,0.9202207,9.65326,3,0.17630622188832606
ZTFJ192327.58+075449.5,424901,290.86493,7.91375,2.2935192,0.547,6.261,58658.4748262,14.675,14.034,2.2935192,2.2933812,120,107,0.547,0.652,6.261,6.299,0.878,0.806,0.158,0.129,-10.138,-5.978,EA,0.02,0.014,300454776,4295829935955603584,290.86494143547003,0.014581336,7.913730691664587,0.01431654,0.3958852976827614,0.018853992,-3.524545494730512,0.017123282,-5.5004401051915774,0.015414961,-11.702292,11.634269,14.063021,44641.47062937629,39.52284,14.510299,21443.5771902493,78.72128,13.444018,33231.577135891195,82.11711,5972.871,3.4285,-0.2139,0.6579,1.0015177,0.0,0.026430828,1.0,,,5.6767483,12,0.08058717751167999
ZTFJ192332.72+032822.6,425181,290.88635,3.47295,7.3543246,0.47,6.336,58617.3824103,16.715,15.284,7.3544694,7.3543246,120,124,0.498,0.47,6.283,6.336,0.922,0.969,0.843,0.76,-11.457,-13.704,EA,0.325,0.225,1339742743,4292115510765361664,290.886348334514,0.026229532,3.472925943352257,0.025190895,0.312168277216768,0.033904407,2.9172143242571926,0.033421643,-1.0719380677290316,0.030393189,100.83276,4.9876227,15.308033,14181.877242201772,143.8542,16.289118,4166.484702017873,431.99405,14.323251,14786.241973756978,154.36794,4960.9653,2.7725,0.0793,1.6613,0.91581225,0.0,0.046659492,1.0,,,4.0839148,14,0.08681047235164797
ZTFJ192343.77+293214.7,425767,290.93241,29.53744,0.9781704,0.447,6.157,58430.092494,13.489,13.234,0.9781704,0.9781966,168,185,0.447,0.529,6.157,6.328,0.95,0.943,0.197,0.181,-20.259,-22.378,EA,0.014,0.018,1006037896,2038565171482974976,290.9324052310946,0.007456175,29.537416408930042,0.009224988,0.6493816862258972,0.011124091,-0.08203378142656814,0.009539414,-3.700924272493413,0.01125684,2.2232418,14.38741,13.224843,96607.19259507922,229.1099,13.460377,56398.33602729828,409.50293,12.833873,58292.031582388074,391.39728,,,,,0.9967451,0.0,0.015875632,1.0,,,10.822056,17,0.08623136201924235
ZTFJ192344.59+051116.1,425803,290.93583,5.18782,24.8443846,0.472,6.371,58348.3365944,13.186,0.0,24.8443846,0.0,117,0,0.472,0.0,6.371,0.0,0.608,0.0,0.104,0.0,-7.648,0.0,EA,0.026,0.0,703711333,4292941583271636736,290.9358351105159,0.010302502,5.187809523337384,0.011186463,1.1333465777599885,0.014380949,-4.265179450293364,0.012026251,-20.743386583765414,0.0117750475,-82.12715,7.7073197,11.989323,301451.6443468472,195.9137,12.758474,107653.25070348421,450.85318,11.13159,279590.3644499308,224.61049,4789.7637,2.7162,-0.1477,0.9218,0.7622602,0.0,0.018679457,1.0,27.713005,0.0,33.34625,12,0.04193100654203845
ZTFJ192401.51+232944.6,426783,291.00631,23.49574,1.8743276,0.696,6.421,58315.3767636,15.827,14.793,1.8743286,1.8743276,173,180,0.667,0.696,6.275,6.421,0.757,0.776,0.282,0.23,-8.389,-11.033,EA,0.143,0.084,919369291,2022685234298582784,291.00632233133365,0.018320505,23.49571753927456,0.032731038,0.7941864206619053,0.04335781,-1.1944342069821892,0.02177746,-1.0378332365287275,0.046820607,23.159369,5.5720644,14.808068,22476.020160441516,15.416341,15.509164,8545.771523869184,48.16517,13.954399,20768.177508161065,19.30915,5620.367,4.1019,-0.7882,1.3491,2.0950644,0.35779625,0.06503394,0.9736328,,,7.287174,46,0.09052953710473627
ZTFJ192407.05+061147.0,427138,291.02939,6.19641,2.2705388,0.682,6.244,58319.2826931,14.246,13.488,2.2706788,2.2705388,126,134,0.698,0.682,6.018,6.244,0.836,0.85,0.222,0.209,-6.256,-7.741,EA,0.021,0.011,1159953339,4295316120397169152,291.0293878969481,0.04491525,6.196362624517992,0.04571938,0.8145138999457336,0.058842737,0.23248661834102374,0.051995985,5.25009099626634,0.045451377,-45.815937,11.813542,13.49979,74994.7305976997,36.222477,14.0258045,33503.86405480671,61.63724,12.801941,60031.86479994622,39.076363,6305.248,3.838,-0.3108,1.0821,3.7665117,0.44224277,0.07581808,0.9848633,,,10.149952,11,0.17071773908234883
ZTFJ192408.70+032620.9,427235,291.03626,3.43916,1.7641858,0.605,6.33,58318.3426224,14.787,14.312,1.7641354,1.7641858,126,125,0.605,0.733,6.33,6.298,0.938,0.873,0.395,0.293,-7.288,-9.938,EA,0.263,0.157,240299027,4289112160399316992,291.03625738372335,0.017387502,3.439130978349993,0.016036073,0.4712087783641991,0.020783363,-3.61764503323282,0.02123169,-7.700813971648663,0.018875187,78.711174,19.121284,14.307226,35649.71798541517,35.220463,14.673517,18450.580428271183,232.34068,13.775329,24492.150254725693,92.06387,7643.033,4.0502,0.0691,1.1645,1.0049832,0.0,0.030058205,1.0,,,3.67834,9,0.1049000985360685
